ID,Name,Sex,Age,Height,Weight,BestTime_100m,AverageTime_100m,training_hours_per_week,Medal
372,Yannick Kser,M,24,186,81,50.7,51.78,15.7,0
373,Reem Mohamed Hussein El-Sayed Kassem,F,20,175,75,58.12,58.44,11.8,0
374,Shivani Kataria,F,18,163,60,55.59,56.28,13.9,0
375,Khristos Katrantzis,M,24,188,78,53.21,53.68,18.5,0
376,Radosaw Kawcki,M,24,189,76,51.42,53.43,16.933333333333334,0
377,Tracy Keith-Matchitt,F,26,167,60,58.21,58.33,9.4,0
378,Tams Kenderesi,M,19,186,74,47.11,48.46,30.1,1
379,Ajna Evelin Ksely,F,14,165,54,57.5,59.74333333333334,18.3,0
380,Ali Ahmed Mahmoud Ali Khalafalla,M,20,182,78,52.52,52.83,9.2,0
381,Yuliya Petrovna Khitraya,F,26,180,66,57.26,58.18,15.4,0
382,Ilya Andreyevich Khomenko,M,20,181,75,52.77,53.02,19.8,0
383,Apostolos Khristou,M,19,198,88,50.68,52.6325,15.825000000000001,0
384,Vitaly Khudyakov,M,21,186,83,52.7,53.53,10.5,0
385,Yumi Kida,F,31,160,55,60.58,60.83,10.3,0
386,Kim Seo-Yeong,F,22,163,51,59.63,60.68,16.4,0
387,Lilly King,F,19,175,70,52.04,55.093333333333334,28.266666666666666,1
388,Boris Kirillov,M,23,181,75,51.14,51.74,5.0,0
389,Gerg Kis,M,28,184,81,53.85,54.980000000000004,12.100000000000001,0
390,Yuri Kisil,M,20,198,84,51.84,54.5725,12.975,0
391,Kacper Fabian Klich,M,21,182,78,52.15,54.41,23.5,0
392,Anja Klinar,F,28,170,62,57.87,60.9,17.633333333333333,0
393,Tom Klobunk,M,26,185,88,50.68,50.83,21.2,0
394,Andrea Kneppers,F,23,175,67,59.41,60.25,10.7,0
395,Kenji Kobase,M,29,180,80,54.49,55.25,5.0,0
396,Yuki Kobori,M,22,183,77,47.51,47.74,26.9,1
397,Kristel Arianne Kbrich Schmipl,F,30,170,60,57.08,59.215,14.4,0
398,Marco Koch,M,26,185,83,53.28,53.885000000000005,19.6,0
399,Junya Koga,M,29,181,80,49.82,53.22,17.8,0
400,Sarah Khler,F,22,179,67,59.01,60.10666666666666,13.4,0
401,Dienov Andrs Koka,M,20,173,68,50.78,51.36,12.8,0
402,"Man Yi ""Yvette"" Kong",F,23,176,60,54.98,58.56,19.0,0
403,Yevgeny Nikolayevich Koptelov,M,22,190,72,51.16,54.096666666666664,15.200000000000001,0
404,Pawe Jzef Korzeniowski,M,31,192,82,52.85,55.379999999999995,12.299999999999999,0
405,Birgit Koschischek,F,29,169,60,56.21,56.68,11.3,0
406,Yasuhiro Koseki,M,24,188,80,51.55,52.276666666666664,12.200000000000001,0
407,Matias Koski,M,22,195,93,55.42,55.92,10.95,0
408,Dimitrios Koulouris,M,25,183,79,51.38,52.34,17.9,0
409,Dominik Kozma,M,25,193,90,50.17,55.2325,17.525,0
410,Adzo Rebecca Kpossi,F,17,158,53,58.2,58.69,5.0,0
411,Anastasiya Sergeyevna Krapivina,F,21,170,56,58.28,58.51,25.0,0
412,Aleksandr Vladimirovich Krasnykh,M,21,188,80,52.52,54.28,20.166666666666668,0
413,Lena Kreundl,F,18,174,69,55.05,55.65,14.3,0
414,Ranomi Kromowidjojo,F,25,180,72,57.29,59.04333333333333,11.866666666666667,0
415,Leonie Kullmann,F,16,175,62,56.85,58.78,20.3,0
416,Olim Kurbanov,M,18,186,69,54.94,56.01,15.2,0
417,Cameron Roland Kurle,M,19,186,66,54.23,54.24,24.3,0
418,Tanja Kylliinen,F,23,155,57,57.89,59.285,14.8,0
419,Camille Lacourt,M,31,200,85,50.89,52.245,16.8,0
420,Audrey Lacroix,F,32,163,53,56.92,57.63,9.6,0
421,Jessie Khing Lacuna,M,22,170,70,54.36,54.56,12.9,0
422,Driss Lahrichi,M,18,190,83,52.67,54.1,15.5,0
423,Alexus Lucienne Laird,F,23,172,61,58.16,58.57,11.7,0
424,Talisa Lanoe,F,22,167,50,60.47,62.27,17.3,0
425,"Mitchell James ""Mitch"" Larkin",M,23,187,72,47.54,50.01666666666667,27.03333333333333,1
426,"Yin Yan ""Claudia"" Lau",F,23,160,56,58.63,59.769999999999996,19.450000000000003,0
427,Jenna Laukkanen,F,21,182,80,55.69,57.81333333333333,13.966666666666669,0
428,Chad Guy Bertrand le Clos,M,24,190,83,47.21,49.25666666666666,23.866666666666664,1
429,Fanny Lecluyse,F,24,177,64,54.46,57.504999999999995,20.6,0
430,"Kathleen Genevieve ""Katie"" Ledecky",F,19,183,73,52.7,53.61,30.54,1
431,Lee Hsuan-Yen,M,23,173,63,53.24,53.49,22.0,0
432,Liubomyr Arturovych Lemeshko,M,24,186,86,52.72,52.79,11.2,0
433,Luca Leonardi,M,25,186,78,52.55,52.64,9.0,0
434,Fantine Lesaffre,F,21,180,57,54.09,56.465,11.950000000000001,0
435,Li Guangyuan,M,19,187,81,54.85,55.495000000000005,14.45,0
436,Li Xiang,M,23,191,85,50.31,52.38666666666666,15.366666666666667,0
437,Li Zhuhao,M,17,183,73,49.98,53.35333333333333,13.733333333333333,0
438,Anders Lie Nielsen,M,25,186,74,53.42,53.67,9.5,0
439,Brave Lifa,M,20,175,70,55.77,56.06,9.5,0
440,Lin Pei-Wun,F,16,174,61,56.49,57.38,13.4,0
441,Lin Yongqing,M,23,190,85,48.06,48.74,21.4,0
442,Ida Lindborg,F,22,167,60,56.56,56.6,16.7,0
443,Katarna Listopadov,F,23,169,60,58.53,59.97,17.35,0
444,Max Robert Litchfield,M,21,168,78,50.75,51.5,20.1,0
445,Jay Litherland,M,20,183,80,54.49,55.31,14.1,0
446,Liu Xiang,F,19,180,66,58.04,58.28,15.3,0
447,Liu Yaxin,F,17,178,69,60.61,60.74,11.7,0
448,Ari-Pekka Liukkonen,M,27,208,92,51.5,52.91,16.9,0
449,Ieuan David Lloyd,M,23,194,91,53.16,53.74,15.4,0
450,Nikita Konstantinovich Lobintsev,M,27,193,85,51.6,52.17,17.45,0
451,Ryan Steven Lochte,M,32,188,88,47.86,51.59,25.65,1
452,Nataliya Vladimirovna Lovtsova,F,28,177,70,54.73,57.885000000000005,18.425,0
453,Lu Ying,F,27,175,65,58.32,58.739999999999995,18.299999999999997,0
454,Jamila Lunkuse,F,19,153,60,58.36,58.99,18.1,0
455,Hrafnhildur Luthersdttir,F,25,178,65,55.54,56.32,16.95,0
456,Manuella Duarte Lyrio,F,27,163,57,51.55,57.23333333333333,15.9,0
457,Marcos Antnio Costa Ferreira de Macedo,M,25,189,85,54.33,54.43,14.1,0
458,Brittany MacLean,F,22,172,70,54.11,59.345,20.8,1
459,Daniel Macovei,M,23,185,71,52.11,53.65,14.5,0
460,Nicholas Daryl Magaa Defago,M,20,198,90,53.73,53.76,17.5,0
461,Filippo Magnini,M,34,188,80,53.86,54.66,9.6,0
462,James Magnussen,M,25,198,94,48.14,48.53,31.7,1
463,Travis Mahoney,M,26,190,81,50.34,52.504999999999995,8.95,0
464,Corey Charles Garth Main,M,21,188,85,49.96,53.935,21.25,0
465,Sandrine Mainville,F,24,173,65,53.16,53.41,29.7,1
466,Kacper Majchrzak,M,23,190,87,50.74,52.7975,17.225,0
467,Semyon Vladimirovich Makovich,M,21,180,76,50.01,50.3,6.7,0
468,Erwin Len Maldonado Saavedra,M,33,174,70,50.97,52.04,19.2,0
469,Grgory Mallet,M,32,196,84,51.37,52.46,17.9,0
470,Noura Mana,F,18,170,62,55.92,56.6,16.8,0
471,Florent Manaudou,M,25,199,99,47.76,48.815,31.25,1
472,Simone Ashley Manuel,F,20,178,73,52.13,53.125,30.25,1
473,Mao Feilian,M,23,185,74,54.67,54.89,18.2,0
474,Joanna de Albuquerque Maranho Bezerra de Melo,F,29,173,58,53.69,58.163333333333334,18.133333333333333,0
475,Daiene Maral Dias,F,27,159,55,59.1,60.34,26.3,0
476,Yusra Mardini,F,18,157,53,54.26,57.745,16.75,0
477,Melanie Margalis,F,24,173,65,52.59,53.78,20.05,1
478,Deividas Margeviius,M,21,187,80,56.61,56.93,19.7,0
479,Luca Marin,M,30,187,82,53.12,53.43,10.6,0
480,Vctor Martn Martn,M,22,187,82,51.85,52.7,15.1,0
481,Aitor Martnez Rodrguez,M,22,183,78,54.0,54.31,7.6,0
482,Luis Carlos Martnez Mndez,M,20,182,74,52.84,53.16,13.4,0
483,Henrique de Souza Martins,M,24,180,73,52.06,52.965,15.3,0
484,Noah Mascoll-Gomes,M,17,175,68,51.34,51.83,22.1,0
485,Chiara Masini Luccetti,F,23,171,56,58.73,59.16,16.2,0
486,Kylie Jacqueline Masse,F,20,173,61,53.77,57.260000000000005,22.45,1
487,Ahmed Al-Mathlouthi,M,26,190,90,52.38,54.31,18.466666666666665,0
488,Radomyos Matjiur,M,28,180,81,52.8,52.88,5.0,0
489,Takeshi Matsuda,M,32,184,84,47.68,47.91,29.1,1
490,Yayoi Matsumoto,F,26,168,65,57.79,58.99,15.75,0
491,Matti Mattsson,M,22,197,98,51.58,53.265,13.899999999999999,0
492,Elin Ida Mattsson-Marko-Varga,F,31,170,65,57.3,57.65,21.45,0
493,Martha McCabe,F,26,168,58,56.69,57.24,21.9,0
494,Cameron McEvoy,M,22,185,70,48.63,50.6275,21.975,1
495,Anton Sveinn McKee,M,22,183,84,51.39,52.405,18.200000000000003,0
496,David McKeon,M,24,195,85,48.38,52.026666666666664,12.766666666666666,0
497,Emma McKeon,F,22,180,60,52.66,54.955999999999996,23.580000000000002,1
498,Taylor McKeown,F,21,178,65,52.16,57.660000000000004,19.733333333333334,1
499,Jack Alan McLoughlin,M,21,183,75,47.88,49.55,5.0,0
500,Keryn McMaster,F,22,169,63,61.37,61.67,8.2,0
501,Dorian Mara Grayce McMenemy Taylor,F,19,185,70,56.73,57.02,18.0,0
502,Etiene Pires de Medeiros,F,25,169,60,54.82,58.6625,21.825,0
503,Christoph Martin Meier,M,23,197,95,53.96,54.48,17.5,0
504,"Catherine Michelle ""Katie"" Meili",F,25,170,61,53.84,54.79,27.9,1
505,Rta Meilutyt,F,19,176,75,56.72,58.21,16.5,0
506,Odysseus Meladinis,M,26,193,85,51.87,53.04,13.600000000000001,0
507,Martn Andrs Melconian lvez,M,26,183,77,58.35,58.78,8.0,0
508,Oussama Mellouli,M,32,192,84,54.14,54.79,15.7,0
509,Luiz Altamir Lopes Melo,M,20,174,69,52.3,54.295,19.15,0
510,Miguel ngel Mea Peralta,M,19,176,69,54.16,54.86,18.6,0
511,Jenny Mensing,F,30,183,70,56.92,59.62,21.9,0
512,Nikol Merizaj,F,17,180,65,59.23,59.94,20.0,0
513,Mehdy Metella,M,24,190,90,48.57,52.599999999999994,26.6,1
514,Matthew Mark Meyer,M,18,185,70,53.19,53.49,20.9,0
515,Michael Julian Meyer,M,23,184,76,51.53,52.58,5.1,0
516,William Meynard,M,29,190,85,47.77,48.39,29.1,1
517,Julie-Marie Meynen,F,18,170,65,55.96,57.56,11.75,0
518,Marie Laura Meza Peraza,F,25,163,55,53.73,54.07,21.0,0
519,Jan Micka,M,21,183,76,49.37,52.67,12.2,0
520,Clment Mignon,M,23,187,75,47.88,52.18,21.599999999999998,1
521,Hannah Louise Miley,F,26,166,53,58.44,59.276666666666664,16.333333333333332,0
522,Cody Miller,M,24,180,80,47.86,48.775,30.65,1
523,Stephen Milne,M,22,185,76,47.19,51.88666666666666,23.933333333333334,1
524,Dirngulbai Moreyna Misech,F,18,165,51,58.96,60.39,8.0,0
525,Alice Mizzau,F,23,180,65,56.9,59.330000000000005,15.433333333333332,0
526,Vahan Mkhitaryan,M,19,186,92,52.21,52.62,9.0,0
527,Sachi Mochida,F,17,166,58,61.57,62.39,21.1,0
528,Igor Araujo Mogne,M,20,175,66,53.31,53.85,20.4,0
529,Nazlati Mohamed Andhumdine,F,18,160,62,60.62,61.14,15.2,0
530,Abdelaziz Mohamed Ahmed,M,21,181,72,51.39,52.26,18.5,0
531,Flra Molnr,F,18,175,65,58.8,59.15,13.3,0
532,Martina Moravkov,F,27,174,64,57.99,58.53,14.233333333333334,0
533,David Morgan,M,22,184,82,48.05,52.406666666666666,19.366666666666667,1
534,Vladimir Viktorovich Morozov,M,24,180,73,52.61,54.16,16.1,0
535,Magdalena Ruth Alex Moshi,F,25,169,65,57.48,57.75,5.0,0
536,Albarchir Mouctar,M,21,178,76,54.96,55.32,19.1,0
537,Roukaya Moussa Mahamane,F,19,163,47,56.81,56.88,21.2,0
538,Darya Vasilvyevna Mullakayeva,F,18,172,61,54.77,55.44,13.9,0
539,Aurlie Muller,F,26,169,57,58.0,58.88,15.7,0
540,Ross Murdoch,M,22,183,76,56.5,57.42,11.1,0
541,"Andrea ""Andi"" Murez",F,24,184,77,54.64,57.24333333333333,11.533333333333333,0
542,Jorge Mario Murillo Valdes,M,24,186,77,48.76,52.135000000000005,18.0,0
543,Ryan Murphy,M,21,191,91,46.84,47.53333333333333,28.53333333333333,1
544,Nicola Muscat,F,22,173,59,57.94,58.42,10.2,0
545,Vladislav Mustafin,M,20,181,78,53.01,53.31,10.5,0
546,Richard Nagy,M,23,186,73,50.57,52.63999999999999,15.9,0
547,Martn Naidich,M,25,185,74,54.02,55.28,16.6,0
548,Katsumi Nakamura,M,22,183,75,51.72,52.754999999999995,19.924999999999997,0
549,Nam Yu-Seon,F,31,169,52,56.35,57.41,19.7,0
550,Arya Nasimi Shad,M,16,187,68,50.3,52.83,18.2,0
551,Rozaliya Khaydyarovna Nasretdinova,F,19,180,66,59.89,60.51,13.2,0
552,Awa Ly Ndiaye,F,16,169,53,56.0,56.71,17.9,0
553,Lia Neal,F,21,178,75,53.54,53.77,33.5,1
554,Leah Neale,F,21,173,66,53.29,53.53,27.4,1
555,Sotiria Neofytou,F,18,165,60,58.22,58.75,16.8,0
556,Robin Neumann,F,18,173,63,58.88,59.675,15.5,0
557,Vnia Soares Neves,F,25,171,61,56.35,57.82,19.4,0
558,Gal Nevo,M,29,178,78,49.4,50.826666666666675,15.033333333333333,0
559,Kotuku Ngawati,F,22,165,60,59.8,60.32,18.5,0
560,Nguyn Th nh Vin,F,19,172,60,58.28,60.20333333333334,14.5,0
561,Abdoul Khadre Mbaye Niane,M,27,190,90,45.92,46.66,28.7,0
562,Rachel Nicol,F,23,160,61,57.39,60.515,18.85,0
563,Mie stergaard Nielsen,F,19,184,67,54.24,57.129999999999995,20.5,1
564,Aleksandar Nikolov,M,24,185,75,52.06,53.59,10.8,0
565,Ning Zetao,M,23,191,81,53.41,54.6475,17.175,0
566,Ana Sofia Nbrega,F,25,174,70,59.15,59.45,14.8,0
567,Anna Ntountounaki,F,20,177,66,57.68,58.53,15.6,0
568,Siobhan-Marie O'Connor,F,20,173,60,52.92,56.93666666666667,22.599999999999998,1
569,Tjaa Oder,F,22,180,65,58.74,59.585,13.55,0
570,Poliana Okimoto-Cintra,F,33,165,52,52.75,53.65,29.3,1
571,Anna Greta Olasz,F,22,163,55,58.65,58.89,6.1,0
572,"Penelope ""Penny"" Oleksiak",F,16,185,68,52.95,54.98,27.96,1
573,Larissa Martins de Oliveira,F,23,169,57,55.44,57.52,14.459999999999999,0
574,Nicolas Nilo Csar de Oliveira,M,28,195,92,52.92,53.75,12.300000000000002,0
575,Marc-Antoine Olivier,M,20,183,64,47.79,49.4,29.5,1
576,Ranokhon Omonova,F,22,174,62,57.37,60.019999999999996,14.149999999999999,0
577,Samson Samuel Opuakpo Forcados,M,30,183,70,53.15,53.26,13.7,0
578,Arina Pavlovna Opyonysheva,F,17,161,48,55.25,58.52,14.75,0
579,Marco Orsi,M,25,189,89,51.08,52.1,13.7,0
580,Bruno Ortiz-Caavate Ozeki,M,23,194,88,51.78,51.85,14.2,0
581,Miguel Ortiz-Caavate Ozeki,M,25,189,89,53.29,54.12,7.7,0
582,Dmytro Olehovych Oseledets,M,21,187,82,56.11,56.31,18.8,0
583,Farida Hisham Ahmed Osman,F,21,173,58,58.27,58.705,11.95,0
584,Jeanette Ottesen Gray,F,28,178,70,53.41,58.0675,20.1,1
585,Angelika Sita Oudraogo,F,22,172,63,55.21,55.43,16.8,0
586,Emily Overholt,F,18,170,55,53.68,54.75333333333333,25.03333333333333,1
587,Jake Packard,M,22,195,68,47.94,49.775,27.400000000000002,1
588,Daniil Pavlovich Pakhomov,M,17,186,78,53.61,54.07,22.2,0
589,Joshua Palmer,M,24,186,87,52.63,52.66,18.5,0
590,Gregorio Paltrinieri,M,21,191,72,48.13,48.69,33.8,1
591,Margherita Panziera,F,20,180,65,57.7,58.83,20.7,0
592,Mrk Papp,M,22,185,78,55.16,55.31,19.4,0
593,Park Jin-Young,F,19,162,58,57.15,57.5,24.8,0
594,Park Tae-Hwan,M,26,183,73,52.87,54.406666666666666,19.3,0
595,Sara Elizabeth Pastrana Lizano,F,17,170,55,57.52,57.98,10.8,0
596,Keri-Anne Payne (-Carry),F,28,177,66,56.9,57.15,21.6,0
597,Adam George Peaty,M,21,191,86,47.43,48.245000000000005,32.1,1
598,Jacob Pebley,M,22,193,86,50.93,51.13,17.8,0
599,Jana Pechanov,F,35,170,62,62.69,63.47,13.8,0
600,Rikke Mller Pedersen,F,27,174,61,51.65,56.77333333333333,23.73333333333333,1
601,Federica Pellegrini,F,27,177,65,57.55,59.7025,16.425,0
602,Carlos Peralta Gallego,M,22,165,60,53.29,53.35,23.6,0
603,Andr Linhares Pereira,M,22,185,84,51.77,56.19,13.8,0
604,Thiago Machado Vilela Pereira,M,30,187,83,53.45,53.65,18.5,0
605,Jhonny Jos Prez Urea,M,18,173,50,52.7,52.79,16.9,0
606,Paola Valentina Prez Sierra,F,25,162,54,58.89,59.11,10.9,0
607,pela Pere,F,19,158,50,56.27,56.82,22.7,0
608,Erik Persson,M,22,181,75,52.64,53.925,14.7,0
609,Aglaia Mafalda Pezzato,F,22,175,60,58.93,59.65,7.0,0
610,Jinq En Phee,F,18,166,51,58.96,59.62,9.1,0
611,"Michael Fred Phelps, II",M,31,193,91,46.32,48.32833333333334,29.066666666666666,1
612,Elinah Amani Phillip,F,16,164,50,58.65,60.08,9.6,0
613,Sydney Pickrem,F,19,170,54,56.1,59.099999999999994,15.55,0
614,Blake Pieroni,M,20,188,86,47.57,47.69,28.5,1
615,Emilia Pikkarainen (-Bottas),F,23,173,54,59.55,60.5,14.6,0
616,Ryan John Pini,M,34,196,98,54.09,54.48,14.1,0
617,Pedro Miguel Alves Pinotes,M,26,185,70,51.79,51.91,11.4,0
618,Tjaa Pintar,F,19,175,65,56.59,57.24,18.1,0
619,Ammara Pinto,F,18,163,61,59.51,59.72,13.3,0
620,Andreina del Valle Pinto Prez,F,24,176,68,54.3,58.72,10.233333333333334,0
621,Omar Andrs Pinzn Garca,M,27,185,85,57.34,57.69,29.2,0
622,Stefania Pirozzi,F,22,170,59,59.33,59.5,18.9,0
623,Luca Pizzini,M,27,185,68,52.39,52.69,15.7,0
624,David Edward Plummer,M,30,191,95,46.89,47.31,28.5,1
625,Tomasz Polewka,M,21,200,96,52.19,52.75,18.1,0
626,Alessia Polieri,F,21,163,55,61.07,61.43,21.6,0
627,Joan Llus Pons Ramn,M,19,170,62,53.22,53.47,12.4,0
628,Allyson Ponson,F,20,165,60,57.28,57.98,13.8,0
629,Jarrod Poort,M,21,185,85,53.5,53.83,13.8,0
630,Aleksandr Yevgenyevich Popkov,M,21,185,80,53.86,54.01,16.3,0
631,Veronika Andreyevna Popova,F,25,182,68,56.61,59.676,17.2,0
632,Yaroslav Vladimirovich Potapov,M,17,188,72,55.98,56.75,15.4,0
633,Jordan Jules Julien Marce Pothain,M,21,187,74,51.22,53.735,14.5,0
634,Sovijja Pou,M,21,169,62,52.15,54.14,15.1,0
635,Sajan Prakash Prakash,M,22,178,70,54.52,54.76,5.6,0
636,Josh Prenot,M,23,180,76,48.17,48.99,29.6,1
637,Irene Prescott,F,22,174,74,58.94,60.32,6.9,0
638,Kirill Gennadyevich Prigoda,M,20,192,88,50.48,50.85,14.9,0
639,"Benjamin Ross ""Ben"" Proud",M,21,185,92,50.63,52.39,15.3,0
640,Albert Puig Garrich,M,22,184,78,53.85,54.01,12.9,0
641,Bence Pulai,M,24,193,89,52.35,53.36,21.25,0
642,Abbas Qali,M,23,178,77,51.99,52.1,17.1,0
643,Qiu Ziao,M,17,182,67,52.85,53.989999999999995,14.15,0
644,Quah Ting Wen,F,23,175,60,57.59,57.73,21.9,0
645,Quah Zheng Wen,M,19,179,79,49.66,53.74666666666667,15.833333333333334,0
646,Nicholas Quinn,M,23,185,78,51.71,54.475,19.5,0
647,Jos Alberto Quintanilla Moreno,M,19,200,89,53.64,54.12,20.6,0
648,Cristin Daniel Quintero Valero,M,23,195,90,50.82,56.1275,17.4,0
649,Aina Estellah Rabetsara,F,22,167,59,58.49,59.18,29.2,0
650,Kane Radford,M,25,175,79,50.14,50.31,9.6,0
651,Marius Radu,M,24,194,85,51.68,53.055,20.35,0
652,Kimiko Shihara Raheem,F,17,165,51,57.45,58.04,22.9,0
653,Mohammad Mahfizur Rahman,M,23,172,71,50.11,50.31,18.0,0
654,Anthonny Sitraka Ralefy,M,21,182,79,53.27,53.85,19.7,0
655,Nina Georgieva Rangelova,F,25,170,58,59.05,60.295,12.75,0
656,Clemens Andreas Rapp,M,27,193,85,50.24,51.74,17.85,0
657,Danas Rapys,M,21,186,73,51.28,52.88666666666666,15.6,0
658,Kristf Rasovszky,M,19,190,84,51.74,51.83,16.1,0
659,Christian Reichert,M,31,188,83,55.83,57.31,17.9,0
660,Christopher Patrick Reid,M,20,198,98,55.29,56.865,20.700000000000003,0
661,Ins Remersaro Coronel,F,23,167,55,57.83,58.35,25.7,0
662,Molly Renshaw,F,20,175,65,54.61,58.3,14.05,0
663,"Robert Peter ""Robbie"" Renwick",M,28,184,80,47.04,47.36,28.7,1
664,Irak'li Revishvili,M,26,178,77,55.17,55.33,7.2,0
665,Aona Ribakova,F,25,176,63,56.66,56.9,8.3,0
666,va Risztov,F,30,173,72,59.3,59.955,16.15,0
667,Karen Nathalia Riveros Schulz,F,21,170,66,55.93,56.15,8.4,0
668,Matteo Rivolta,M,24,193,83,53.03,54.3,17.4,0
669,James Roberts,M,25,194,90,48.67,48.93,34.4,1
670,Samantha Roberts,F,16,172,64,57.77,58.31,14.7,0
671,Wesley Tikiariki Roberts,M,19,188,74,55.14,56.57,13.5,0
672,Emma Robinson,F,21,180,72,59.52,59.78,23.7,0
673,Henrique Cavalcanti Rodrigues,M,25,194,88,53.47,54.35,13.3,0
674,Mykhailo Mykhailovych Romanchuk,M,19,190,82,50.8,50.89,14.0,0
675,Maria Romanjuk,F,19,169,65,60.3,60.71,14.8,0
676,Gabrielle Gonalves Roncatto,F,18,165,60,60.14,60.25,15.2,0
677,Sebastien Daniel Rousseau,M,25,190,86,52.71,55.31666666666666,14.1,0
678,Taylor Madison Ruck,F,16,180,60,51.27,55.1,26.233333333333334,1
679,Yekaterina Olegovna Rudenko,F,21,180,69,59.38,59.68,25.9,0
680,Simone Ruffini,M,26,173,67,53.4,55.39,14.0,0
681,Cierra Runge,F,20,193,85,53.21,53.4,28.8,1
682,Sean Ryan,M,23,191,77,54.48,55.27,13.3,0
683,Shane Ryan,M,22,198,89,49.95,53.97,14.766666666666666,0
684,Yevgeny Mikhaylovich Rylov,M,19,184,69,46.98,49.51666666666667,18.26666666666667,1
685,Simone Sabbioni,M,19,185,79,52.44,53.83,17.3,0
686,Aleksandr Sergeyevich Sadovnikov,M,19,193,85,52.99,54.18,11.25,0
687,Oussama Sahnoune,M,24,190,90,51.44,52.010000000000005,19.0,0
688,Masato Sakai,M,21,181,77,46.92,47.0,28.2,1
689,Natsumi Sakai,F,15,172,63,56.33,58.1,16.400000000000002,0
690,Matea Samardi,F,21,177,61,57.33,58.949999999999996,16.333333333333332,0
691,Fatoumata Samasskou,F,28,168,74,63.04,63.6,5.9,0
692,Panagiotis Samilidis,M,22,187,91,49.74,52.46333333333333,19.033333333333335,0
693,Marc Snchez Torrens,M,23,188,75,52.42,54.364999999999995,15.9,0
694,Alexei Sancov,M,16,188,85,52.54,54.24,18.9,0
695,Stefan Bellore Sangala,F,21,165,58,58.53,58.7,16.6,0
696,Pavel Pavlovich Sankovich,M,26,182,77,53.44,53.82,21.8,0
697,Jamila Keizia Sanmoogan,F,19,143,58,59.82,59.93,20.3,0
698,Anna Santamans,F,23,177,61,55.23,59.315,14.149999999999999,0
699,Matheus Paulo de Santana,M,20,189,90,52.23,52.9,14.7,0
700,Alexis Manaas da Silva Santos,M,24,185,70,52.11,54.975,13.1,0
701,Gabriel da Silva Santos,M,20,184,83,51.82,52.27,11.4,0
702,Michele Santucci,M,27,188,82,55.0,56.09,11.1,0
703,Katerine Savard,F,23,167,54,53.07,56.745000000000005,22.3,1
704,Chlo Marie Hlne Savourel,F,16,166,68,57.54,57.56,11.2,0
705,Tindwende Thierry Sawadogo,M,21,199,93,51.24,51.81,10.5,0
706,Mateusz Jakub Sawrymowicz,M,29,185,75,52.15,52.8,7.6,0
707,Paulina Schmiedel,F,23,175,61,59.13,59.56,18.0,0
708,Allison Rodgers Schmitt,F,26,185,75,52.11,52.905,26.9,1
709,Joseph Isaac Schooling,M,21,184,74,48.85,50.955,23.4,1
710,Mikel Schreuders,M,17,189,90,53.64,54.3,30.9,0
711,Benjamin Schulte,M,20,193,83,55.65,55.97,14.6,0
712,Brandon Schuster,M,18,188,75,49.83,50.27,16.1,0
713,Ben Schwietert,M,19,192,83,51.61,51.89,9.9,0
714,Duncan William MacNaughton Scott,M,19,190,72,47.2,49.66,22.833333333333332,1
715,Julia Sebastin,F,22,178,70,58.21,59.47,17.9,0
716,Dalma Sebestyn,F,19,176,67,61.91,61.96,5.9,0
717,Emily Jane Seebohm,F,24,180,70,51.85,56.85333333333333,21.233333333333334,1
718,Barbora Seemanov,F,16,175,56,54.75,59.47,11.8,0
719,Janja egel,F,15,177,60,60.29,61.44,14.9,0
720,Laraba Gnon Cessy Seibou,F,15,173,63,58.22,59.92,15.8,0
721,Erika Seltenreich-Hodgson,F,21,170,65,58.49,59.22,7.1,0
722,Dara Semonowa,F,14,170,50,59.56,60.21,18.9,0
723,Hanna-Maria Seppl,F,31,174,59,59.65,59.87,13.7,0
724,Daiya Seto,M,22,174,72,47.18,48.34,23.299999999999997,1
725,Andrey Dmitriyevich Shabasov,M,22,180,73,56.65,57.78,11.1,0
726,Aminath Shajan,F,22,157,50,57.29,57.69,16.6,0
727,Shang Keyuan,M,21,183,79,51.72,52.14,15.1,0
728,Shen Duo,F,19,180,72,56.53,58.955999999999996,16.2,0
729,Shi Jinglin,F,23,175,68,53.3,56.303333333333335,19.733333333333334,1
730,"Thomas Allen ""Tom"" Shields",M,25,193,86,48.16,50.876666666666665,22.5,1
731,Zohar Hen Shikler,F,19,178,61,58.49,59.269999999999996,15.850000000000001,0
732,Pilar Shimizu,F,20,168,61,59.38,59.75,11.8,0
733,Sakiko Shimizu,F,24,156,50,59.91,61.08,19.2,0
734,Shinri Shioura,M,24,188,89,51.3,54.620000000000005,16.400000000000002,0
735,"Timothy ""Tim"" Shuttleworth",M,19,192,72,50.59,51.44,9.3,0
736,Andrius idlauskas,M,19,187,77,53.37,53.89,10.9,0
737,Keren Michaela Siebner,F,26,180,68,60.02,60.57,25.1,0
738,aba Silai,M,25,185,77,53.03,53.61,14.2,0
739,Welson Sim,M,19,181,70,51.9,52.93666666666667,11.5,0
740,Thiago Teixeira Simon,M,26,184,93,51.92,52.68,15.3,0
741,Katarina Saa Simonovi,F,21,164,64,58.11,60.34,13.9,0
742,Gaurika Singh,F,13,155,45,58.25,58.98,19.0,0
743,Simon Olov Sjdin,M,29,192,85,53.35,54.72,15.85,0
744,Sarah Frederica Sjstrm,F,22,182,76,53.88,57.462857142857146,24.400000000000002,1
